rom,title,year,manufacturer
ft_l3,Fish Tales (L-3),1992,Williams
ft_l4,Fish Tales (L-4),1992,Williams
ft_l5,Fish Tales (L-5),1992,Williams
ft_p4,Fish Tales (P-4),1992,Williams
ftaerobi,ftaerobi,,
ftimpact,Fighters' Impact (Ver 2.02O),1996,Taito
ftimpactj,Fighters' Impact (Ver 2.02J),1996,Taito
ftimpactu,Fighters' Impact (Ver 2.02A),1996,Taito
ftimpcta,Fighters' Impact A (Ver 2.00J),1997,Taito
ftspeed,Faster Than Speed,2004,Sammy
ftsserv,Apricot FTs (Scorpion),1991,Apricot
fujitsu_29dl16x,Fujitsu 29DL16X Flash,,
fujitsu_29f016a,Fujitsu 29F016A Flash,,
fujitsu_29f160t,Fujitsu 29F160 Flash,,
fullthrl,Full Throttle (Japan),1987,Taito Corporation
fun4,Fun Four (set 1) [TTL],1976,Bailey International
fun4a,Fun Four (set 2) [TTL],1976,Bailey International
funcsino,Status Fun Casino (V1.3s),1981,Status Games
funcube,Funcube (v1.5),2000,Namco
funcube2,Funcube 2 (v1.1),2001,Namco
funcube3,Funcube 3 (v1.1),2001,Namco
funcube4,Funcube 4 (v1.0),2001,Namco
funcube5,Funcube 5 (v1.0),2002,Namco
funcube_touchscrene,Funcube Touchscreen,,
funjacks,Funtronics Jacks,1979,Mattel
funkball,Funky Ball,1998,dgPIX Entertainment Inc.
funkybee,Funky Bee,1982,Orca
funkybeeb,"Funky Bee (bootleg, harder)",1982,bootleg
funkyfig,"The First Funky Fighter (North America, set 1)",1993,Nakanihon / East Technology (Taito license)
funkyfiga,"The First Funky Fighter (North America, set 2)",1993,Nakanihon / East Technology (Taito license)
funkyjet,"Funky Jet (World, rev 1)",1992,Data East (Mitchell license)
funkyjeta,Funky Jet (World),1992,Data East (Mitchell license)
funkyjetj,"Funky Jet (Japan, rev 2)",1992,Data East Corporation
funlddlx,Funny Land de Luxe,1999,Stella
funnyfm,Funny Farm (v1.17),2004,Kupidon
funnyfma,Funny Farm (v1.26),2004,Kupidon
funnyfmb,Funny Farm (v1.30),2004,Kupidon
funnymou,Funny Mouse (Japan),1982,Taito Corporation (Chuo Co. Ltd license)
funquiz,Fun World Quiz (Austrian),198?,Fun World / Oehlinger
funriver,Fun River (Version 1.4R CGA),2005,Amcoe
funriverd1,Fun River (Version 1.3R CGA),2005,Amcoe
funriverv,Fun River (Version 1.4R Dual),2005,Amcoe
funrlgl,Funtronics Red Light Green Light,1979,Mattel
funybubl,Funny Bubble,1999,In Chang Electronic Co
funybublc,Funny Bubble (Comad version),1999,Comad
funystrp,Funny Strip,199?,Microhard / MagicGames
futari10,Mushihime-Sama Futari Ver 1.0 (2006/10/23 MASTER VER.),2006,Cave (AMI license)
futari15,Mushihime-Sama Futari Ver 1.5 (2006/12/8.MASTER VER. 1.54.),2006,Cave (AMI license)
futari15a,Mushihime-Sama Futari Ver 1.5 (2006/12/8 MASTER VER 1.54),2006,Cave (AMI license)
futaribl,Mushihime-Sama Futari Black Label - Another Ver (2009/11/27 INTERNATIONAL BL),2007,Cave (AMI license)
futariblj,Mushihime-Sama Futari Black Label (2007/12/11 BLACK LABEL VER),2007,Cave (AMI license)
futflash,Future Flash,1981,Hoei
futrquen,Future Queen,1987,Nuova Bell Games
futspy,Future Spy (315-5061),1984,Sega
futurspa,Future Spa,1979,Bally
futurwld,Future World,1978,Zaccaria
fuudol,Fuudol (Japan),2000,Nichibutsu/eic
fuukivid,Fuuki Video,,
fvipers,Fighting Vipers (Revision D),1995,Sega
fvipers2,"Fighting Vipers 2 (Japan, Revision A)",1998,Sega
fvrpitch,"Fever Pitch? (2VXEC534, NSW, 90.36%)",1986,Ainsworth Nominees P.L.
fx,F-X (bootleg of S.R.D. Mission),1986,bootleg
fzeroax,F-Zero AX (Rev E) (GDT-0004E),2003,Sega / Amusement Vision / Nintendo
fzeroaxc,F-Zero AX (Rev C) (GDT-0004C),2003,Sega / Amusement Vision / Nintendo
g13knd,"Golgo 13 Kiseki no Dandou (Japan, GLS1/VER.A)",1999,Eighting / Raizing / Namco
g4u2,Games 4 U 2 (94 5.6-0),2002?,Novotech
g4u3,Games 4 U 3 (94 5.6-4),2002?,Novotech
g4u3a,Games 4 U 3 (94 5.6-5),2002?,Novotech
g4u4,Games 4 U 4 (94 5.6-5),2002?,Novotech
g4u5,Games 4 U 5 (94 5.6-5),2002?,Novotech
g4u6,Games 4 U 6 (94 5.6-5),2002?,Novotech
g4u7,Games 4 U 7 (94 5.6-5a),2002?,Novotech
g65c816,G65C816,,
g7400,Videopac Plus G7400,1983,Philips
ga2,Golden Axe: The Revenge of Death Adder (World),1992,Sega
ga2j,Golden Axe: The Revenge of Death Adder (Japan),1992,Sega
ga2u,Golden Axe: The Revenge of Death Adder (US),1992,Sega
gaelco_cg1v,Gaelco CG1V,,
gaelco_gae1,Gaelco GAE1,,
gaelco_serial,Gaelco 3D Serial Hardware,,
gaia,Gaia Crusaders,1999,Noise Factory
gaialast,Gaia - The Last Choice of Earth,1999,SemiCom / XESS
gaiapols,Gaiapolis (ver EAF),1993,Konami
gaiapolsj,Gaiapolis (ver JAF),1993,Konami
gaiapolsu,Gaiapolis (ver UAF),1993,Konami
gaiden,Ninja Gaiden (US),1988,Tecmo
gakupara,Quiz Gakuen Paradise (Japan),1991,NMK
gakusai,Mahjong Gakuensai (Japan),1997,MakeSoft
gakusai2,Mahjong Gakuensai 2 (Japan),1998,MakeSoft
gal10ren,Mahjong Gal 10-renpatsu (Japan),1993,Fujic
gal3,Galaxian 3 - Theater 6 : Project Dragoon,199?,Namco
galactic,Galactica - Batalha Espacial,1980?,Taito do Brasil
galaga,Galaga (Namco rev. B),1981,Namco
galaga3,Galaga 3 (GP3 rev. D),1984,Namco
galaga3a,Galaga 3 (GP3 rev. C),1984,Namco
galaga3b,Galaga 3 (GP3),1984,Namco
galaga3c,Galaga 3 (set 4),1984,Namco
galaga3m,Galaga 3 (set 5),1984,Namco
galaga88,Galaga '88,1987,Namco
galaga88a,Galaga '88 (02-03-88),1987,Namco
galaga88j,Galaga '88 (Japan),1987,Namco
galagamf,Galaga (Midway set 1 with fast shoot hack),1981,Namco (Midway license)
galagamk,Galaga (Midway set 2),1981,Namco (Midway license)
galagamw,Galaga (Midway set 1),1981,Namco (Midway license)
galagao,Galaga (Namco),1981,Namco
galap1,Space Invaders Galactica (galaxiana hack),1979,hack
galap4,Galaxian Part 4 (hack),1979,hack (G.G.I)
galapx,Galaxian Part X (moonaln hack),1979,hack
galastrm,Galactic Storm (Japan),1992,Taito Corporation
galaxbsf,"Galaxian (bootleg, set 1)",1979,bootleg
galaxbsf2,"Galaxian (bootleg, set 3)",1979,bootleg
galaxi,Galaxi (v2.0),2000,B.R.L.
galaxia,Galaxia (set 1),1979,Zaccaria / Zelco
galaxiaa,Galaxia (set 2),1979,Zaccaria / Zelco
galaxiab,Galaxia (set 3),1979,Zaccaria / Zelco
galaxiac,Galaxia (set 4),1979,Zaccaria / Zelco
galaxian,Galaxian (Namco set 1),1979,Namco
galaxian_sound,Galaxian Audio Custom,,
galaxiana,Galaxian (Namco set 2),1979,Namco
galaxianbl,"Galaxian (bootleg, set 2)",1979,bootleg
galaxiani,Galaxian (Irem),1979,bootleg? (Irem)
galaxianm,Galaxian (Midway set 1),1979,Namco (Midway license)
galaxianmo,Galaxian (Midway set 2),1979,Namco (Midway license)
galaxiant,Galaxian (Taito),1979,Namco (Taito license)
galaxrf,Galaxian (Recreativos Franco S.A. Spanish bootleg),1980,bootleg (Recreativos Franco S.A.)
galaxrfgg,Galaxian Growing Galaxip / Galaxian Nave Creciente (Recreativos Franco S.A. Spanish bootleg),1980,bootleg (Recreativos Franco S.A.)
galaxy,Galaksija,1983,Voja Antonic / Elektronika inzenjering
galaxy2,Galaxy II,1981,Epoch
galaxyfg,Galaxy Fight - Universal Warriors,1995,Sunsoft
galaxygn,Galaxy Gunners,1989,Electronic Devices Italy
galaxyp,Galaksija plus,1985,Nenad Dunjic
galaxypi,Galaxy,1980,Stern
galaxyr,Galaxy Ranger,1983,Sega
galaxyrp,Galaxy Ranger (Pioneer LDV1000),1983,Sega
galds,Gals Ds - Three Dealers Casino House (bootleg?),1985,Nihon System Corp.
galeb,Galeb,1981,PEL Varazdin
galemp,Galaxy Empire (bootleg?),1980,bootleg (Taito do Brasil)
galeone,Il Galeone,2000,San Remo Games
galgame,Galaxy Game,1971,"Computer Recreations, Inc"
galgame2,Galaxy Games StarPak 2,1998,Creative Electronics & Software / Namco
galgbios,Galaxy Games (BIOS v1.90),1998,Creative Electronics & Software
galhustl,Gals Hustler,1997,ACE International
galivan,Cosmo Police Galivan (12/26/1985),1985,Nichibutsu
galivan2,Cosmo Police Galivan (12/16/1985),1985,Nichibutsu
galivan3,Cosmo Police Galivan (12/11/1985),1985,Nichibutsu
galkaika,Mahjong Gal no Kaika (Japan),1989,Nichibutsu / T.R.Tec
galkoku,Mahjong Gal no Kokuhaku (Japan),1989,Nichibutsu / T.R.Tec
gallag,Gallag,1981,bootleg
gallag50,"Gallag Video Game / Petalouda (Butterfly, x50)",199?,bootleg
gallgall,Gallagher's Gallery v2.2,1992,American Laser Games
gallgall_21,Gallagher's Gallery v2.1,1992,American Laser Games
gallop,"Gallop - Armed Police Unit (Japan, M72)",1991,Irem
galmedes,Galmedes (Japan),1992,Visco
galmonst,Galaxy Monsters (Laguna S.A. Spanish bootleg of Space Invaders),1978,bootleg (Laguna S.A.)
galpani2,Gals Panic II (Asia),1993,Kaneko
galpani2e,Gals Panic II (English),1993,Kaneko
galpani2e2,"Gals Panic II (English, 2 PCB ver.)",1993,Kaneko
galpani2g,"Gals Panic II (Germany, 2 PCB ver.)",1993,Kaneko
galpani2gs,"Gals Panic II (Germany, single PCB)",1993,Kaneko
galpani2i,"Gals Panic II (Italy, single PCB)",1993,Kaneko
galpani2j,Gals Panic II (Japan),1993,Kaneko
galpani2t,Gals Panic II (Taiwan),1993,Kaneko
galpani3,Gals Panic 3 (Euro),1995,Kaneko
galpani3hk,Gals Panic 3 (Hong Kong),1995,Kaneko
galpani3j,Gals Panic 3 (Japan),1995,Kaneko
galpani3k,Gals Panic 3 (Korea),1995,Kaneko
galpani4,Gals Panic 4 (Japan),1996,Kaneko
galpani4k,Gals Panic 4 (Korea),1996,Kaneko
galpanic,Gals Panic (Unprotected),1990,Kaneko
galpanica,Gals Panic (MCU Protected),1990,Kaneko
galpanis,Gals Panic S - Extra Edition (Europe),1997,Kaneko
galpanisj,Gals Panic S - Extra Edition (Japan),1997,Kaneko
galpanisk,Gals Panic S - Extra Edition (Korea),1997,Kaneko
galpans2,Gals Panic S2 (Japan),1999,Kaneko
galpans2a,Gals Panic S2 (Asia),1999,Kaneko
galpans3,Gals Panic S3 (Japan),2002,Kaneko
galpansu,Gals Panic SU (Korea),1999,Kaneko
galsnew,"Gals Panic (US, EXPRO-02 PCB)",1990,Kaneko
galsnewa,"Gals Panic (Export, EXPRO-02 PCB)",1990,Kaneko
galsnewj,"Gals Panic (Japan, EXPRO-02 PCB)",1990,Kaneko (Taito license)
galsnewk,"Gals Panic (Korea, EXPRO-02 PCB)",1990,Kaneko (Inter license)
galspnbl,Gals Pinball,1996,Comad
galturbo,Galaxian Turbo (superg hack),1979,hack
galxwars,Galaxy Wars (Universal set 1),1979,Universal
galxwars2,Galaxy Wars (Universal set 2),1979,Universal
galxwarst,Galaxy Wars (Taito?),1979,Universal (Taito license?)
gamate,Gamate,1990,Bit Corp
gamate_sound,Gamate Audio Custom,,
gamatron,Gamatron,1985,Pinstar
gamatros,Gamatron (Sonic),1986,Sonic
gambl186,"Multi Game (Versione 4.0.3 - 1.5.7, 05-FEV-99(397)) (V398?)",1997,EGD
gambl186a,"Multi Game (Versione 4.0.3 - 1.5.7, 05-FEV-99(397)) (V399?)",1997,EGD
gambl186b,"Multi Game (Versione 3.8.6T - 1.5.6, 25-AUG-97) (V378?)",1997,EGD
gameboy,Game Boy,1990,Nintendo
gameboy_sound,LR35902 Sound,,
gamecom,Game.com,1997,Tiger
gamecst2,GameCristal (version 2.613),2002,Cristaltec
gamecstl,GameCristal,2002,Cristaltec
gamegeaj,Game Gear (Japan),1990,Sega
gamegear,Game Gear (Europe/America),1991,Sega
gamegear_psg,Game Gear PSG,,
gamekin3,GameKing 3,2003,TimeTop
gameking,GameKing GM-218,2003,TimeTop
gamepock,Game Pocket Computer,1984,Epoch
gametngk,The Game Paradise - Master of Shooting! / Game Tengoku - The Game Paradise,1995,Jaleco
gammagic,Game Magic,1999,Bally Gaming Co.
gamshara,Gamshara (10021 Ver.A),2003,Mitchell
gamt1,Gaminator 1 (set 1),2002?,Novotech
gamt10,Gaminator 10 (set 1),2002?,Novotech
gamt10a,Gaminator 10 (set 2),2002?,Novotech
gamt10b,Gaminator 10 (set 3),2002?,Novotech
gamt10bag,"Gaminator 10 (bootleg, Bag)",2002?,bootleg
gamt10c,Gaminator 10 (set 4),2002?,Novotech
gamt10d,Gaminator 10 (set 5),2002?,Novotech
gamt10e,Gaminator 10 (set 6),2002?,Novotech
gamt10ent,"Gaminator 10 (bootleg, Ent)",2002?,bootleg
gamt10f,Gaminator 10 (set 7),2002?,Novotech
gamt10g,Gaminator 10 (set 8),2002?,Novotech
gamt10gmult,"Gaminator 10 (bootleg, Multiloto)",2002?,bootleg
gamt10h,Gaminator 10 (set 9),2002?,Novotech
gamt10i,Gaminator 10 (set 10),2002?,Novotech
gamt10j,Gaminator 10 (set 11),2002?,Novotech
gamt10k,Gaminator 10 (set 12),2002?,Novotech
gamt10l,Gaminator 10 (set 13),2002?,Novotech
gamt10lotc,"Gaminator 10 (bootleg, C-Loto)",2002?,bootleg
gamt10lotm,"Gaminator 10 (bootleg, Lotomatic)",2002?,bootleg
gamt10m,Gaminator 10 (set 14),2002?,Novotech
gamt10n,Gaminator 10 (set 15),2002?,Novotech
gamt10o,Gaminator 10 (set 16),2002?,Novotech
gamt11,Gaminator 11 (set 1),2002?,Novotech
gamt11a,Gaminator 11 (set 2),2002?,Novotech
gamt11b,Gaminator 11 (set 3),2002?,Novotech
gamt11bmult,"Gaminator 11 (bootleg, Multiloto)",2002?,bootleg
gamt11c,Gaminator 11 (set 4),2002?,Novotech
gamt12,Gaminator 12 (set 1),2002?,Novotech
gamt12a,Gaminator 12 (set 2),2002?,Novotech
gamt12b,Gaminator 12 (set 3),2002?,Novotech
gamt16,Gaminator 16 (set 1),2002?,Novotech
gamt16a,Gaminator 16 (set 2),2002?,Novotech
gamt16b,Gaminator 16 (set 3),2002?,Novotech
gamt16c,Gaminator 16 (set 4),2002?,Novotech
gamt16d,Gaminator 16 (set 5),2002?,Novotech
gamt16e,Gaminator 16 (set 6),2002?,Novotech
gamt16f,Gaminator 16 (set 7),2002?,Novotech
gamt16fmult,"Gaminator 16 (bootleg, Multiloto)",2002?,bootleg
gamt16g,Gaminator 16 (set 8),2002?,Novotech
gamt16h,Gaminator 16 (set 9),2002?,Novotech
gamt16i,Gaminator 16 (set 10),2002?,Novotech
gamt16j,Gaminator 16 (set 11),2002?,Novotech
gamt16k,Gaminator 16 (set 12),2002?,Novotech
gamt16lotc,"Gaminator 16 (bootleg, C-Loto)",2002?,bootleg
gamt17,Gaminator 17 (set 1),2002?,Novotech
gamt17a,Gaminator 17 (set 2),2002?,Novotech
gamt17b,Gaminator 17 (set 3),2002?,Novotech
gamt18,Gaminator 18 (set 1),2002?,Novotech
gamt18a,Gaminator 18 (set 2),2002?,Novotech
gamt18b,Gaminator 18 (set 3),2002?,Novotech
gamt18bmult,"Gaminator 18 (bootleg, Multiloto)",2002?,bootleg
gamt18c,Gaminator 18 (set 4),2002?,Novotech
gamt18d,Gaminator 18 (set 5),2002?,Novotech
gamt18ent,"Gaminator 18 (bootleg, Ent)",2002?,bootleg
gamt18lotc,"Gaminator 18 (bootleg, C-Loto)",2002?,bootleg
gamt19,Gaminator 19 (set 1),2002?,Novotech
gamt19a,Gaminator 19 (set 2),2002?,Novotech
gamt19ent,"Gaminator 19 (bootleg, Ent)",2002?,bootleg
gamt19lotc,"Gaminator 19 (bootleg, C-Loto)",2002?,bootleg
gamt19mult,"Gaminator 19 (bootleg, Multiloto)",2002?,bootleg
gamt1a,Gaminator 1 (set 2),2002?,Novotech
gamt1b,Gaminator 1 (set 3),2002?,Novotech
gamt1ent,"Gaminator 1 (bootleg, Ent)",2002?,bootleg
gamt1lotc,"Gaminator 1 (bootleg, C-Loto)",2002?,bootleg
gamt20,Gaminator 20 (set 1),2002?,Novotech
gamt20a,Gaminator 20 (set 2),2002?,Novotech
gamt20b,Gaminator 20 (set 3),2002?,Novotech
gamt20ent,"Gaminator 20 (bootleg, Ent)",2002?,bootleg
gamt20lotc,"Gaminator 20 (bootleg, C-Loto)",2002?,bootleg
gamt20lotm,"Gaminator 20 (bootleg, Lotomatic)",2002?,bootleg
gamt21,Gaminator 21 (set 1),2002?,Novotech
gamt21a,Gaminator 21 (set 2),2002?,Novotech
gamt21amult,"Gaminator 21 (bootleg, Multiloto)",2002?,bootleg
gamt22,Gaminator 22 (set 1),2002?,Novotech
gamt22a,Gaminator 22 (set 2),2002?,Novotech
gamt22amult,"Gaminator 22 (bootleg, Multiloto)",2002?,bootleg
gamt22b,Gaminator 22 (set 3),2002?,Novotech
gamt23,Gaminator 23 (set 1),2002?,Novotech
gamt23a,Gaminator 23 (set 2),2002?,Novotech
gamt23b,Gaminator 23 (set 3),2002?,Novotech
gamt29,Gaminator 29 (set 1),2002?,Novotech
gamt29a,Gaminator 29 (set 2),2002?,Novotech
gamt30,Gaminator 30 (set 1),2002?,Novotech
gamt31,Gaminator 31 (set 1),2002?,Novotech
gamt31mult,"Gaminator 31 (bootleg, Multiloto)",2002?,bootleg
gamt4,Gaminator 4 (set 1),2002?,Novotech
gamt4a,Gaminator 4 (set 2),2002?,Novotech
gamt4b,Gaminator 4 (set 3),2002?,Novotech
gamt4c,Gaminator 4 (set 4),2002?,Novotech
gamt4d,Gaminator 4 (set 5),2002?,Novotech
gamt4dbag,"Gaminator 4 (bootleg, Bag, set 1)",2002?,bootleg
gamt4e,Gaminator 4 (set 6),2002?,Novotech
gamt4ent,"Gaminator 4 (bootleg, Ent)",2002?,bootleg
gamt4f,Gaminator 4 (set 7),2002?,Novotech
gamt4fbag,"Gaminator 4 (bootleg, Bag, set 2)",2002?,bootleg
gamt4g,Gaminator 4 (set 8),2002?,Novotech
gamt4h,Gaminator 4 (set 9),2002?,Novotech
gamt4hbag,"Gaminator 4 (bootleg, Bag, set 3)",2002?,bootleg
gamt4hmult,"Gaminator 4 (bootleg, Multiloto)",2002?,bootleg
gamt4i,Gaminator 4 (set 10),2002?,Novotech
gamt4ibag,"Gaminator 4 (bootleg, Bag, set 4)",2002?,bootleg
gamt4j,Gaminator 4 (set 11),2002?,Novotech
gamt4lotc,"Gaminator 4 (bootleg, C-Loto)",2002?,bootleg
gamt4lotca,"Gaminator 4 (C-Loto, MK4)",2002?,bootleg
gamt4lotm,"Gaminator 4 (bootleg, Lotomatic)",2002?,bootleg
gamt5,Gaminator 5 (set 1),2002?,Novotech
gamt6,Gaminator 6 (set 1),2002?,Novotech
gamt6a,Gaminator 6 (set 2),2002?,Novotech
gamt6b,Gaminator 6 (set 3),2002?,Novotech
gamt6c,Gaminator 6 (set 4),2002?,Novotech
gamt6d,Gaminator 6 (set 5),2002?,Novotech
gamt6e,Gaminator 6 (set 6),2002?,Novotech
gamt6ent,"Gaminator 6 (bootleg, Ent)",2002?,bootleg
gamt6f,Gaminator 6 (set 7),2002?,Novotech
gamt6lotc,"Gaminator 6 (bootleg, C-Loto)",2002?,bootleg
gamt7,Gaminator 7 (set 1),2002?,Novotech
gamt7a,Gaminator 7 (set 2),2002?,Novotech
gamt7b,Gaminator 7 (set 3),2002?,Novotech
gamt7c,Gaminator 7 (set 4),2002?,Novotech
gamt7d,Gaminator 7 (set 5),2002?,Novotech
gamt7e,Gaminator 7 (set 6),2002?,Novotech
gamt7f,Gaminator 7 (set 7),2002?,Novotech
gamt7g,Gaminator 7 (set 8),2002?,Novotech
gamt7h,Gaminator 7 (set 9),2002?,Novotech
gamt8,Gaminator 8 (set 1),2002?,Novotech
gamt8a,Gaminator 8 (set 2),2002?,Novotech
gamt8b,Gaminator 8 (set 3),2002?,Novotech
gamt8c,Gaminator 8 (set 4),2002?,Novotech
gamt8d,Gaminator 8 (set 5),2002?,Novotech
gamt8lotc,"Gaminator 8 (bootleg, C-Loto)",2002?,bootleg
gamt9,Gaminator 9 (set 1),2002?,Novotech
gamt9a,Gaminator 9 (set 2),2002?,Novotech
gamt9lotc,"Gaminator 9 (bootleg, C-Loto)",2002?,bootleg
gamtor_vga,GAMTOR VGA,,
ganbare,Ganbare! Marine Kun (Japan 2K0411),2000,Capcom
gangonta,Ganbare! Gonta!! 2 / Party Time: Gonta the Diver II (Japan Release),1995,Mitchell
gangrose,Gangster's Roses (v4.70),2004,Kupidon
gangwars,Gang Wars,1989,Alpha Denshi Co.
gangwarsb,Gang Wars (bootleg),1989,bootleg
gangwarsj,Gang Wars (Japan),1989,Alpha Denshi Co.
gangwarsu,Gang Wars (US),1989,Alpha Denshi Co.
ganjaja,Ganbare Jajamaru Saisho wa Goo / Ganbare Jajamaru Hop Step & Jump,1990,Jaleco
ganryu,Ganryu / Musashi Ganryuki,1999,Visco
gaplus,Gaplus (GP2 rev. B),1984,Namco
gaplusa,Gaplus (GP2),1984,Namco
gaplusd,"Gaplus (GP2 rev D, alternate hardware)",1984,Namco
gaplust,Gaplus (Tecfri PCB),1992,bootleg (Tecfri)
garage_4,Garage (040219 World),2004,Igrosoft
garage_4a,"Garage (bootleg, 040219, backdoor)",2004,bootleg
garage_4b,"Garage (bootleg, 040219, changed version text)",2004,bootleg
garage_4c,"Garage (bootleg, 040219, LOTO PROGRAM V-GG2)",2004,bootleg
garage_5,Garage (050311 World),2004,Igrosoft
garage_5a,"Garage (bootleg, 050311, backdoor)",2004,bootleg
garage_5b,"Garage (bootleg, 050311, VIDEO GAME-1 GA01)",2004,bootleg
garage_5c,"Garage (bootleg, 050311, payout percentage 70)",2004,bootleg
garage_5d,"Garage (bootleg, 050311, LOTTOGAME (I))",2004,bootleg
garage_5e,"Garage (bootleg, 050311, LOTOS GA01)",2004,bootleg
garage_6,Garage (070213 Russia),2004,Igrosoft
garage_7,Garage (070329 Russia),2004,Igrosoft
garage_9,Garage (090715 Entertainment),2004,Igrosoft
gardia,Gardia (317-0006),1986,Coreland / Sega
gardiab,"Gardia (317-0007?, bootleg)",1986,bootleg
gardiaj,"Gardia (Japan, 317-0006)",1986,Coreland / Sega
garogun,Garogun Seroyang (Korea),2000,Yun Sung
garou,Garou - Mark of the Wolves (NGM-2530),1999,SNK
garoubl,Garou - Mark of the Wolves (bootleg),1999,bootleg
garouh,Garou - Mark of the Wolves (NGM-2530)(NGH-2530),1999,SNK
garoup,Garou - Mark of the Wolves (prototype),1999,SNK
garuka,Garuka (Japan ver. W),1988,Konami
garyoret,Garyo Retsuden (Japan),1987,Data East Corporation
gatedoom,Gate of Doom (US revision 4),1990,Data East Corporation
gatedoom1,Gate of Doom (US revision 1),1990,Data East Corporation
gatsbee,Gatsbee,1984,hack
gaunt2,Gauntlet II,1986,Atari Games
gaunt22p,"Gauntlet II (2 Players, rev 2)",1986,Atari Games
gaunt22p1,"Gauntlet II (2 Players, rev 1)",1986,Atari Games
gaunt22pg,"Gauntlet II (2 Players, German)",1986,Atari Games
gaunt2g,Gauntlet II (German),1986,Atari Games
gauntdl,Gauntlet Dark Legacy (version DL 2.52),1999,Midway Games
gauntdl24,Gauntlet Dark Legacy (version DL 2.4),1999,Midway Games
gauntleg,Gauntlet Legends (version 1.6),1998,Atari Games
gauntleg12,Gauntlet Legends (version 1.2),1998,Atari Games
gauntlet,Gauntlet (rev 14),1985,Atari Games
gauntlet2p,"Gauntlet (2 Players, rev 6)",1985,Atari Games
gauntlet2pg,"Gauntlet (2 Players, German, rev 4)",1985,Atari Games
gauntlet2pg1,"Gauntlet (2 Players, German, rev 1)",1985,Atari Games
gauntlet2pj,"Gauntlet (2 Players, Japanese, rev 5)",1985,Atari Games
gauntlet2pj2,"Gauntlet (2 Players, Japanese, rev 2)",1985,Atari Games
gauntlet2pr3,"Gauntlet (2 Players, rev 3)",1985,Atari Games
gauntletg,"Gauntlet (German, rev 10)",1985,Atari Games
gauntletgr3,"Gauntlet (German, rev 3)",1985,Atari Games
gauntletgr6,"Gauntlet (German, rev 6)",1985,Atari Games
gauntletgr8,"Gauntlet (German, rev 8)",1985,Atari Games
